manufacturer,model,fuel,transmission,drive,size,type,state
chevrolet,silverado 1500,gas,other,4wd,full-size,pickup,al
toyota,tundra double cab sr,other,automatic,rwd,mid-size,truck,ak
ford,f150 xlt,diesel,manual,fwd,compact,other,az
jeep,tacoma,hybrid,,,sub-compact,coupe,ar
nissan,colorado extended cab,electric,,,,SUV,ca
honda,corvette grand sport,,,,,mini-van,co
dodge,wrangler unlimited sport,,,,,sedan,ct
chrysler,colorado crew cab z71,,,,,hatchback,dc
infiniti,tacoma access cab pickup,,,,,offroad,de
subaru,camaro ss coupe 2d,,,,,van,fl
lincoln,tundra crewmax sr5 pickup,,,,,convertible,ga
mercedes-benz,frontier crew cab pro4x,,,,,wagon,hi
mitsubishi,compass,,,,,bus,id
acura,f150 supercrew cab xlt,,,,,,il
bmw,f250 super duty,,,,,,in
volkswagen,odyssey,,,,,,ia
mazda,mustang gt premium,,,,,,ks
porsche,f450,,,,,,ky
lexus,wrangler unlimited sahara,,,,,,la
kia,charger rt 4dr sedan,,,,,,me
buick,civic ex sedan 4d,,,,,,md
hyundai,f150 supercrew cab xl,,,,,,ma
gmc,town & country,,,,,,mi
cadillac,qx60 3.5 sport utility,,,,,,mn
ram,impreza,,,,,,ms
volvo,wrangler unlimited rubicon,,,,,,mo
mini,mkz sedan 4d,,,,,,mt
pontiac,fj cruiser,,,,,,nc
audi,e320 cdi,,,,,,ne
fiat,express cargo van,,,,,,nv
rover,camry le sedan 4d,,,,,,nj
jaguar,outlander sport es,,,,,,nm
tesla,sentra s sedan 4d,,,,,,ny
saturn,forester,,,,,,nh
mercury,tlx,,,,,,nd
alfa-romeo,tacoma 4x4,,,,,,oh
harley-davidson,z4,,,,,,ok
land rover,f150 lariat supercrew 4x4,,,,,,or
aston-martin,jetta sel,,,,,,pa
ferrari,ranger xlt,,,,,,ri
,tacoma double cab,,,,,,sc
,crv ex,,,,,,sd
,mx5 miata grand touring,,,,,,tn
,boxster,,,,,,tx
,miata,,,,,,ut
,rx350,,,,,,vt
,gx470,,,,,,va
,rav4,,,,,,wa
,thunderbird,,,,,,wv
,mustang,,,,,,wi
,sentra,,,,,,wy
,spectra ex,,,,,,
,f150,,,,,,
,focus,,,,,,
,windstar,,,,,,
,sport trac,,,,,,
,altima,,,,,,
,frontier,,,,,,
,enclave,,,,,,
,ridgeline,,,,,,
,camry,,,,,,
,5 series,,,,,,
,optima,,,,,,
,silverado 2500,,,,,,
,lacrosse,,,,,,
,echo,,,,,,
,elantra,,,,,,
,blazer,,,,,,
,versa,,,,,,
,yukon xl,,,,,,
,accord,,,,,,
,f750,,,,,,
,ml350,,,,,,
,300m,,,,,,
,escape,,,,,,
,g35 sedan,,,,,,
,grand cherokee laredo,,,,,,
,silverado 2500hd 4x4,,,,,,
,corolla,,,,,,
,soul,,,,,,
,kicks,,,,,,
,corvette convertible,,,,,,
,sorento,,,,,,
,pathfinder,,,,,,
,passat tdi,,,,,,
,cayman,,,,,,
,clk320,,,,,,
,silverado,,,,,,
,srx,,,,,,
,taurus,,,,,,
,x3,,,,,,
,accord exl,,,,,,
,miata mx5,,,,,,
,sts,,,,,,
,corvette,,,,,,
,tl,,,,,,
,murano,,,,,,
,2500,,,,,,
,avalon,,,,,,
,odyssey ex,,,,,,
,lesabre,,,,,,
,edge,,,,,,
,f350,,,,,,
,1500,,,,,,
,terrain,,,,,,
,f250 xl,,,,,,
,captiva sport,,,,,,
,cobalt,,,,,,
,grand caravan,,,,,,
,mclass,,,,,,
,rogue sport,,,,,,
,qx30,,,,,,
,grand cherokee,,,,,,
,cavalier,,,,,,
,s60,,,,,,
,traverse,,,,,,
,charger,,,,,,
,sonata plugin hybrid,,,,,,
,elantra touring,,,,,,
,forte,,,,,,
,jx35,,,,,,
,3500,,,,,,
,yukon xl denali,,,,,,
,sportage,,,,,,
,tundra,,,,,,
,accent,,,,,,
,300,,,,,,
,altima 3.5 sl,,,,,,
,cooper,,,,,,
,4runner,,,,,,
,4runner sport edition,,,,,,
,crown vic,,,,,,
,grand prix,,,,,,
,mdx,,,,,,
,benz c350,,,,,,
,durango,,,,,,
,silverado 2500 z71 4x4,,,,,,
,3500 laramie 4x4,,,,,,
,q7,,,,,,
,trax,,,,,,
,eclipse,,,,,,
,prius,,,,,,
,q50,,,,,,
,x6,,,,,,
,venza,,,,,,
,challenger r/t scat pack,,,,,,
,passat tdi sel,,,,,,
,explorer xlt,,,,,,
,jetta tdi,,,,,,
,4runner sr5 sport utility,,,,,,
,frontier king cab sv,,,,,,
,solara,,,,,,
,tahoe,,,,,,
,ex35,,,,,,
,prius v hybrid,,,,,,
,rogue sv,,,,,,
,liberty,,,,,,
,trailblazer,,,,,,
,promaster 1500 cargo van,,,,,,
,jetta,,,,,,
,baja,,,,,,
,malibu,,,,,,
,titan xd,,,,,,
,silverado 2500hd,,,,,,
,cclass,,,,,,
,silverado 2500 hd ltz,,,,,,
,sorento lx,,,,,,
,f150 regular cab xl,,,,,,
,fj cruiser 4x4,,,,,,
,benz ml 450,,,,,,
,1500 yukon slt,,,,,,
,explorer sport trac,,,,,,
,sclass,,,,,,
,fiesta se,,,,,,
,firebird trans am ws6,,,,,,
,tundra double cab,,,,,,
,tsx,,,,,,
,corolla le,,,,,,
,sierra 1500,,,,,,
,sierra 2500hd denali,,,,,,
,mkz,,,,,,
,328i,,,,,,
,x5,,,,,,
,crv exl,,,,,,
,camaro,,,,,,
,sonic,,,,,,
,qx4,,,,,,
,rx,,,,,,
,f150 xl,,,,,,
,f250 super duty 4x4,,,,,,
,f350 super duty,,,,,,
,sierra 2500hd,,,,,,
,f250 sd xlt,,,,,,
,express 3500,,,,,,
,grand cherokee laredo sport,,,,,,
,200,,,,,,
,nv2500 hd cargo,,,,,,
,f250 xl super duty,,,,,,
,nv200,,,,,,
,freestar ses,,,,,,
,silverado 3500hd,,,,,,
,crown victoria,,,,,,
,wrangler,,,,,,
,highlander,,,,,,
,3500 big horn,,,,,,
,escape hev,,,,,,
,accord crosstour exl,,,,,,
,500l lounge,,,,,,
,eclass,,,,,,
,f250 lariat,,,,,,
,f250,,,,,,
,transit t250,,,,,,
,1500 yukon denali xl,,,,,,
,fx35,,,,,,
,forte ex,,,,,,
,challenger rt plus,,,,,,
,rio,,,,,,
,1500 express,,,,,,
,cx5,,,,,,
,verano,,,,,,
,rl,,,,,,
,civic ex,,,,,,
,sonata,,,,,,
,escalade,,,,,,
,lr4 hse,,,,,,
,colorado,,,,,,
,sc430,,,,,,
,town car,,,,,,
,accord sedan,,,,,,
,impala,,,,,,
,element ex,,,,,,
,cherokee sport,,,,,,
,2500 mega cab 4x4,,,,,,
,a3 tdi premium plus,,,,,,
,f150 lariat fx4 4x4,,,,,,
,silverado 2500 hd 4x4,,,,,,
,f150 4x4 xlt,,,,,,
,accord coupe,,,,,,
,silverado z71 4x4,,,,,,
,silverado z71 4x4 lt,,,,,,
,4runner sr5premium 4x4,,,,,,
,silverado 3500 ltz 4x4,,,,,,
,maxima,,,,,,
,fusion,,,,,,
,patriot,,,,,,
,xterra,,,,,,
,hhr lt,,,,,,
,ss sedan,,,,,,
,entourage,,,,,,
,sx4 se,,,,,,
,q60,,,,,,
,veloster,,,,,,
,ioniq hybrid,,,,,,
,camry xle,,,,,,
,cooper hardtop 2 door,,,,,,
,mustang gt coupe 2d,,,,,,
,pt cruiser,,,,,,
,es 330,,,,,,
,suburban z71,,,,,,
,freestyle,,,,,,
,super duty f250 srw,,,,,,
,gladiator,,,,,,
,is,,,,,,
,ranger,,,,,,
,transit,,,,,,
,express,,,,,,
,savana,,,,,,
,transit connect,,,,,,
,transit 150,,,,,,
,qx 50 luxe,,,,,,
,titan,,,,,,
,benz c300,,,,,,
,sonata gls,,,,,,
,yukon denali 4x4,,,,,,
,e350,,,,,,
,silverado 2500 lt 4x4,,,,,,
,3i,,,,,,
,commander sport,,,,,,
,1500 slt,,,,,,
,super duty f450 drw,,,,,,
,express commercial cutaway,,,,,,
,econoline cargo van,,,,,,
,super duty f550 drw,,,,,,
,econoline commercial cutaway,,,,,,
,savana commercial cutaway,,,,,,
,3500 lcf gas,,,,,,
,super duty f250,,,,,,
,cc4500,,,,,,
,fuso fh211,,,,,,
,transit cutaway,,,,,,
,fuso fe145,,,,,,
,super duty f350 srw,,,,,,
,4500,,,,,,
,5500,,,,,,
,econoline,,,,,,
,challenger,,,,,,
,qx70,,,,,,
,gx,,,,,,
,mkc,,,,,,
,lancer,,,,,,
,sonic lt,,,,,,
,altima 2.5 s,,,,,,
,impala lt,,,,,,
,cooper s,,,,,,
,optima ex,,,,,,
,es 350,,,,,,
,qx50 sport utility 4d,,,,,,
,transit connect wagon,,,,,,
,encore,,,,,,
,civic type r,,,,,,
,cts,,,,,,
,is 250,,,,,,
,4runner limited,,,,,,
,odyssey exl,,,,,,
,terrain slt,,,,,,
,fusion se,,,,,,
,captiva,,,,,,
,300c,,,,,,
,enclave cxl,,,,,,
,sts v6,,,,,,
,quest,,,,,,
,silverado 1500 lt,,,,,,
,cherokee,,,,,,
,4runner 4wd,,,,,,
,benz s550,,,,,,
,frontier sv,,,,,,
,crv lx,,,,,,
,cx9 touring,,,,,,
,xjr s,,,,,,
,cruze,,,,,,
,750li,,,,,,
,kona,,,,,,
,crv,,,,,,
,model s,,,,,,
,rogue sl,,,,,,
,es350,,,,,,
,genesis,,,,,,
,soul +,,,,,,
,explorer,,,,,,
,outlander,,,,,,
,silverado 2500 hd,,,,,,
,pt cruiser gt,,,,,,
,wrangler unlimited x,,,,,,
,juke,,,,,,
,silverado classic,,,,,,
,corvette stingray,,,,,,
,promaster city cargo van,,,,,,
,s60 inscription platinum,,,,,,
,dart,,,,,,
,rogue,,,,,,
,tahoe z71,,,,,,
,yukon,,,,,,
,town and country tourin,,,,,,
,acadia,,,,,,
,journey,,,,,,
,wrangler sport,,,,,,
,qx 56,,,,,,
,envoy,,,,,,
,caliber mainstreet,,,,,,
,sienna xle,,,,,,
,santa fe sport,,,,,,
,glk,,,,,,
,srx luxury,,,,,,
,camaro 2ss,,,,,,
,journey sxt,,,,,,
,caliber,,,,,,
,535i,,,,,,
,fiesta,,,,,,
,navigator,,,,,,
,camry solara,,,,,,
,yukon slt,,,,,,
,tahoe lt,,,,,,
,fuso fe180,,,,,,
,equinox,,,,,,
,fuso fe,,,,,,
,super duty f750 straight frame,,,,,,
,silverado 3500 classic,,,,,,
,super duty f350 drw,,,,,,
,f650 sd,,,,,,
,eseries cutaway,,,,,,
,fuso fe160,,,,,,
,crosstrek,,,,,,
,s80,,,,,,
,ssr,,,,,,
,rdx,,,,,,
,silverado 4x4,,,,,,
,safari slt,,,,,,
,a3,,,,,,
,model 3,,,,,,
,sedona,,,,,,
,f650,,,,,,
,frontier s king cab,,,,,,
,civic,,,,,,
,civic exl,,,,,,
,f150 supercab xlt,,,,,,
,jetta gli fahrenheit,,,,,,
,pacifica l,,,,,,
,rx 300,,,,,,
,malibu ls,,,,,,
,transit 250,,,,,,
,pilot,,,,,,
,edge sel,,,,,,
,highlander limited awd,,,,,,
,slclass,,,,,,
,benz,,,,,,
,park avenue,,,,,,
,colorado crew cab lt,,,,,,
,murano sl,,,,,,
,taurus se,,,,,,
,xv crosstrek,,,,,,
,passat,,,,,,
,yaris,,,,,,
,evoque,,,,,,
,qx80,,,,,,
,armada,,,,,,
,suburban,,,,,,
,charger sxt sedan 4d,,,,,,
,1500 big horn,,,,,,
,cclass c 300,,,,,,
,crosstrek 2.0i limited,,,,,,
,sierra,,,,,,
,xts,,,,,,
,patriot sport,,,,,,
,discovery sport,,,,,,
,640i coupe,,,,,,
,ls 430,,,,,,
,crv ex awd,,,,,,
,a4 2.0t premium plus,,,,,,
,camaro ss,,,,,,
,civic sedan,,,,,,
,4runner sr5,,,,,,
,mkx,,,,,,
,pathfinder sv,,,,,,
,f550,,,,,,
,es 300h,,,,,,
,silverado 3500 hd 4x4,,,,,,
,4runner trd pro 4x4,,,,,,
,renegade,,,,,,
,tacoma 4wd,,,,,,
,rc,,,,,,
,ct 200h fsport,,,,,,
,a5,,,,,,
,aura,,,,,,
,lucerne,,,,,,
,passat wolfsburg,,,,,,
,es,,,,,,
,sierra denali,,,,,,
,sienna,,,,,,
,c230 kompressor,,,,,,
,3 series,,,,,,
,escalade esv premium,,,,,,
,g37 sedan,,,,,,
